in s,C2 in V
-6.000000E-04,5.61523E-04
-5.999904E-04,4.63867E-04
-5.999808E-04,5.12695E-04
-5.999712E-04,7.32422E-05
-5.999616E-04,3.66211E-04
-5.999520E-04,4.15039E-04
-5.999424E-04,6.59180E-04
-5.999328E-04,9.03320E-04
-5.999232E-04,9.03320E-04
-5.999136E-04,8.54492E-04
-5.999040E-04,3.66211E-04
-5.998944E-04,-2.44141E-05
-5.998848E-04,-1.70898E-04
-5.998752E-04,7.32422E-05
-5.998656E-04,4.63867E-04
-5.998560E-04,9.52148E-04
-5.998464E-04,8.54492E-04
-5.998368E-04,6.10352E-04
-5.998272E-04,1.09863E-03
-5.998176E-04,4.63867E-04
-5.998080E-04,8.54492E-04
-5.997984E-04,7.32422E-05
-5.997888E-04,4.15039E-04
-5.997792E-04,7.32422E-05
-5.997696E-04,5.12695E-04
-5.997600E-04,6.10352E-04
-5.997504E-04,1.04980E-03
-5.997408E-04,1.19629E-03
-5.997312E-04,8.05664E-04
-5.997216E-04,7.32422E-05
-5.997120E-04,-6.59180E-04
-5.997024E-04,-6.10352E-04
-5.996928E-04,7.32422E-05
-5.996832E-04,4.15039E-04
-5.996736E-04,1.14746E-03
-5.996640E-04,1.48926E-03
-5.996544E-04,1.04980E-03
-5.996448E-04,3.17383E-04
-5.996352E-04,1.70898E-04
-5.996256E-04,-1.70898E-04
-5.996160E-04,2.68555E-04
-5.996064E-04,5.61523E-04
-5.995968E-04,9.52148E-04
-5.995872E-04,9.03320E-04
-5.995776E-04,1.00098E-03
-5.995680E-04,9.03320E-04
-5.995584E-04,7.08008E-04
-5.995488E-04,2.68555E-04
-5.995392E-04,7.32422E-05
-5.995296E-04,-5.12695E-04
-5.995200E-04,-2.19727E-04
-5.995104E-04,-1.22070E-04
-5.995008E-04,5.12695E-04
-5.994912E-04,9.03320E-04
-5.994816E-04,1.19629E-03
-5.994720E-04,1.09863E-03
-5.994624E-04,7.08008E-04
-5.994528E-04,3.66211E-04
-5.994432E-04,3.66211E-04
-5.994336E-04,7.56836E-04
-5.994240E-04,6.59180E-04
-5.994144E-04,7.08008E-04
-5.994048E-04,4.63867E-04
-5.993952E-04,-3.66211E-04
-5.993856E-04,-1.70898E-04
-5.993760E-04,-2.68555E-04
-5.993664E-04,4.15039E-04
-5.993568E-04,9.52148E-04
-5.993472E-04,1.14746E-03
-5.993376E-04,7.08008E-04
-5.993280E-04,2.68555E-04
-5.993184E-04,-2.44141E-05
-5.993088E-04,2.19727E-04
-5.992992E-04,2.68555E-04
-5.992896E-04,5.61523E-04
-5.992800E-04,6.10352E-04
-5.992704E-04,1.70898E-04
-5.992608E-04,-1.22070E-04
-5.992512E-04,-2.44141E-05
-5.992416E-04,2.19727E-04
-5.992320E-04,5.61523E-04
-5.992224E-04,9.03320E-04
-5.992128E-04,8.05664E-04
-5.992032E-04,4.63867E-04
-5.991936E-04,7.32422E-05
-5.991840E-04,2.44141E-05
-5.991744E-04,2.68555E-04
-5.991648E-04,7.08008E-04
