in Sa,Frequency in Hz,Gain in dB,Phase in °,Amplitude in Vpp
1.00E+00,1.000E+01,-7.858E+01,-1.352E+02,5.000E+00
2.00E+00,1.023E+01,-7.984E+01,-1.260E+02,5.000E+00
3.00E+00,1.047E+01,-8.164E+01,-1.283E+02,5.000E+00
4.00E+00,1.072E+01,-7.999E+01,-1.341E+02,5.000E+00
5.00E+00,1.096E+01,-8.218E+01,-1.273E+02,5.000E+00
6.00E+00,1.122E+01,-8.066E+01,-1.371E+02,5.000E+00
7.00E+00,1.148E+01,-8.184E+01,-1.372E+02,5.000E+00
8.00E+00,1.175E+01,-8.139E+01,-1.226E+02,5.000E+00
9.00E+00,1.202E+01,-7.919E+01,-1.126E+02,5.000E+00
1.00E+01,1.230E+01,-7.819E+01,-1.322E+02,5.000E+00
1.10E+01,1.259E+01,-7.962E+01,-1.240E+02,5.000E+00
1.20E+01,1.288E+01,-7.773E+01,-1.343E+02,5.000E+00
1.30E+01,1.318E+01,-7.882E+01,-1.283E+02,5.000E+00
1.40E+01,1.349E+01,-7.890E+01,-1.335E+02,5.000E+00
1.50E+01,1.380E+01,-8.092E+01,-1.370E+02,5.000E+00
1.60E+01,1.413E+01,-7.883E+01,-1.338E+02,5.000E+00
1.70E+01,1.445E+01,-7.725E+01,-1.194E+02,5.000E+00
1.80E+01,1.479E+01,-8.066E+01,-1.357E+02,5.000E+00
1.90E+01,1.514E+01,-7.883E+01,-1.412E+02,5.000E+00
2.00E+01,1.549E+01,-7.698E+01,-1.331E+02,5.000E+00
2.10E+01,1.585E+01,-8.019E+01,-1.314E+02,5.000E+00
2.20E+01,1.622E+01,-7.784E+01,-1.314E+02,5.000E+00
2.30E+01,1.660E+01,-7.819E+01,-1.355E+02,5.000E+00
2.40E+01,1.698E+01,-7.709E+01,-1.404E+02,5.000E+00
2.50E+01,1.738E+01,-7.862E+01,-1.379E+02,5.000E+00
2.60E+01,1.778E+01,-7.862E+01,-1.334E+02,5.000E+00
2.70E+01,1.820E+01,-7.785E+01,-1.345E+02,5.000E+00
2.80E+01,1.862E+01,-7.827E+01,-1.280E+02,5.000E+00
2.90E+01,1.905E+01,-7.864E+01,-1.497E+02,5.000E+00
3.00E+01,1.950E+01,-7.718E+01,-1.338E+02,5.000E+00
3.10E+01,1.995E+01,-7.688E+01,-1.267E+02,5.000E+00
3.20E+01,2.042E+01,-7.746E+01,-1.411E+02,5.000E+00
3.30E+01,2.089E+01,-7.703E+01,-1.405E+02,5.000E+00
3.40E+01,2.138E+01,-7.644E+01,-1.313E+02,5.000E+00
3.50E+01,2.188E+01,-7.741E+01,-1.471E+02,5.000E+00
3.60E+01,2.239E+01,-7.679E+01,-1.426E+02,5.000E+00
3.70E+01,2.291E+01,-7.804E+01,-1.420E+02,5.000E+00
3.80E+01,2.344E+01,-7.559E+01,-1.326E+02,5.000E+00
3.90E+01,2.399E+01,-7.522E+01,-1.444E+02,5.000E+00
4.00E+01,2.455E+01,-7.759E+01,-1.324E+02,5.000E+00
4.10E+01,2.512E+01,-7.578E+01,-1.366E+02,5.000E+00
4.20E+01,2.570E+01,-7.677E+01,-1.356E+02,5.000E+00
4.30E+01,2.630E+01,-7.620E+01,-1.368E+02,5.000E+00
4.40E+01,2.692E+01,-7.499E+01,-1.336E+02,5.000E+00
4.50E+01,2.754E+01,-7.660E+01,-1.538E+02,5.000E+00
4.60E+01,2.818E+01,-7.499E+01,-1.417E+02,5.000E+00
4.70E+01,2.884E+01,-7.482E+01,-1.318E+02,5.000E+00
4.80E+01,2.951E+01,-7.531E+01,-1.286E+02,5.000E+00
4.90E+01,3.020E+01,-7.513E+01,-1.359E+02,5.000E+00
5.00E+01,3.090E+01,-7.594E+01,-1.453E+02,5.000E+00
5.10E+01,3.162E+01,-7.577E+01,-1.366E+02,5.000E+00
5.20E+01,3.236E+01,-7.544E+01,-1.381E+02,5.000E+00
5.30E+01,3.311E+01,-7.676E+01,-1.318E+02,5.000E+00
5.40E+01,3.388E+01,-7.589E+01,-1.353E+02,5.000E+00
5.50E+01,3.467E+01,-7.524E+01,-1.290E+02,5.000E+00
