in Sa,Frequency in Hz,Gain in dB,Phase in °,Amplitude in Vpp
1.00E+00,1.000E+01,-6.229E+01,-1.320E+02,5.000E+00
2.00E+00,1.023E+01,-6.190E+01,-1.320E+02,5.000E+00
3.00E+00,1.047E+01,-6.191E+01,-1.317E+02,5.000E+00
4.00E+00,1.072E+01,-6.167E+01,-1.346E+02,5.000E+00
5.00E+00,1.096E+01,-6.154E+01,-1.350E+02,5.000E+00
6.00E+00,1.122E+01,-6.155E+01,-1.352E+02,5.000E+00
7.00E+00,1.148E+01,-6.162E+01,-1.354E+02,5.000E+00
8.00E+00,1.175E+01,-6.161E+01,-1.362E+02,5.000E+00
9.00E+00,1.202E+01,-6.157E+01,-1.372E+02,5.000E+00
1.00E+01,1.230E+01,-6.121E+01,-1.367E+02,5.000E+00
1.10E+01,1.259E+01,-6.117E+01,-1.374E+02,5.000E+00
1.20E+01,1.288E+01,-6.094E+01,-1.383E+02,5.000E+00
1.30E+01,1.318E+01,-6.098E+01,-1.405E+02,5.000E+00
1.40E+01,1.349E+01,-6.072E+01,-1.379E+02,5.000E+00
1.50E+01,1.380E+01,-6.095E+01,-1.412E+02,5.000E+00
1.60E+01,1.413E+01,-6.046E+01,-1.397E+02,5.000E+00
1.70E+01,1.445E+01,-6.080E+01,-1.416E+02,5.000E+00
1.80E+01,1.479E+01,-6.047E+01,-1.434E+02,5.000E+00
1.90E+01,1.514E+01,-6.044E+01,-1.433E+02,5.000E+00
2.00E+01,1.549E+01,-6.038E+01,-1.454E+02,5.000E+00
2.10E+01,1.585E+01,-6.003E+01,-1.444E+02,5.000E+00
2.20E+01,1.622E+01,-5.988E+01,-1.465E+02,5.000E+00
2.30E+01,1.660E+01,-5.990E+01,-1.462E+02,5.000E+00
2.40E+01,1.698E+01,-5.990E+01,-1.453E+02,5.000E+00
2.50E+01,1.738E+01,-5.972E+01,-1.483E+02,5.000E+00
2.60E+01,1.778E+01,-5.989E+01,-1.479E+02,5.000E+00
2.70E+01,1.820E+01,-5.991E+01,-1.481E+02,5.000E+00
2.80E+01,1.862E+01,-5.955E+01,-1.498E+02,5.000E+00
2.90E+01,1.905E+01,-5.965E+01,-1.489E+02,5.000E+00
3.00E+01,1.950E+01,-5.958E+01,-1.509E+02,5.000E+00
3.10E+01,1.995E+01,-5.963E+01,-1.498E+02,5.000E+00
3.20E+01,2.042E+01,-5.939E+01,-1.513E+02,5.000E+00
3.30E+01,2.089E+01,-5.941E+01,-1.527E+02,5.000E+00
3.40E+01,2.138E+01,-5.940E+01,-1.532E+02,5.000E+00
3.50E+01,2.188E+01,-5.930E+01,-1.540E+02,5.000E+00
3.60E+01,2.239E+01,-5.970E+01,-1.553E+02,5.000E+00
3.70E+01,2.291E+01,-5.912E+01,-1.546E+02,5.000E+00
3.80E+01,2.344E+01,-5.898E+01,-1.547E+02,5.000E+00
3.90E+01,2.399E+01,-5.903E+01,-1.572E+02,5.000E+00
4.00E+01,2.455E+01,-5.920E+01,-1.552E+02,5.000E+00
4.10E+01,2.512E+01,-5.908E+01,-1.583E+02,5.000E+00
4.20E+01,2.570E+01,-5.910E+01,-1.581E+02,5.000E+00
4.30E+01,2.630E+01,-5.920E+01,-1.570E+02,5.000E+00
4.40E+01,2.692E+01,-5.871E+01,-1.592E+02,5.000E+00
4.50E+01,2.754E+01,-5.896E+01,-1.603E+02,5.000E+00
4.60E+01,2.818E+01,-5.902E+01,-1.609E+02,5.000E+00
4.70E+01,2.884E+01,-5.896E+01,-1.609E+02,5.000E+00
4.80E+01,2.951E+01,-5.885E+01,-1.607E+02,5.000E+00
4.90E+01,3.020E+01,-5.885E+01,-1.599E+02,5.000E+00
5.00E+01,3.090E+01,-5.898E+01,-1.610E+02,5.000E+00
5.10E+01,3.162E+01,-5.906E+01,-1.620E+02,5.000E+00
5.20E+01,3.236E+01,-5.880E+01,-1.620E+02,5.000E+00
5.30E+01,3.311E+01,-5.895E+01,-1.632E+02,5.000E+00
5.40E+01,3.388E+01,-5.898E+01,-1.643E+02,5.000E+00
5.50E+01,3.467E+01,-5.900E+01,-1.637E+02,5.000E+00
5.60E+01,3.548E+01,-5.891E+01,-1.642E+02,5.000E+00
5.70E+01,3.631E+01,-5.881E+01,-1.651E+02,5.000E+00
5.80E+01,3.715E+01,-5.896E+01,-1.632E+02,5.000E+00
5.90E+01,3.802E+01,-5.890E+01,-1.647E+02,5.000E+00
6.00E+01,3.890E+01,-5.859E+01,-1.664E+02,5.000E+00
6.10E+01,3.981E+01,-5.901E+01,-1.635E+02,5.000E+00
6.20E+01,4.074E+01,-5.861E+01,-1.655E+02,5.000E+00
6.30E+01,4.169E+01,-5.879E+01,-1.679E+02,5.000E+00
6.40E+01,4.266E+01,-5.900E+01,-1.680E+02,5.000E+00
6.50E+01,4.365E+01,-5.868E+01,-1.715E+02,5.000E+00
6.60E+01,4.467E+01,-5.890E+01,-1.695E+02,5.000E+00
6.70E+01,4.571E+01,-5.844E+01,-1.686E+02,5.000E+00
6.80E+01,4.677E+01,-5.860E+01,-1.676E+02,5.000E+00
6.90E+01,4.786E+01,-5.855E+01,-1.699E+02,5.000E+00
7.00E+01,4.898E+01,-5.939E+01,-1.696E+02,5.000E+00
7.10E+01,5.012E+01,-5.844E+01,-1.701E+02,5.000E+00
7.20E+01,5.129E+01,-5.894E+01,-1.722E+02,5.000E+00
7.30E+01,5.248E+01,-5.907E+01,-1.721E+02,5.000E+00
7.40E+01,5.370E+01,-5.853E+01,-1.696E+02,5.000E+00
