in Sa,Frequency in Hz,Gain in dB,Phase in °,Amplitude in Vpp
1.00E+00,1.000E+01,-7.843E+01,-1.003E+02,5.000E+00
2.00E+00,1.023E+01,-7.786E+01,-1.058E+02,5.000E+00
3.00E+00,1.047E+01,-7.749E+01,-1.135E+02,5.000E+00
4.00E+00,1.072E+01,-7.881E+01,-1.165E+02,5.000E+00
5.00E+00,1.096E+01,-7.688E+01,-1.003E+02,5.000E+00
6.00E+00,1.122E+01,-7.734E+01,-1.147E+02,5.000E+00
7.00E+00,1.148E+01,-7.891E+01,-1.069E+02,5.000E+00
8.00E+00,1.175E+01,-7.842E+01,-1.140E+02,5.000E+00
9.00E+00,1.202E+01,-7.674E+01,-1.108E+02,5.000E+00
1.00E+01,1.230E+01,-7.744E+01,-1.031E+02,5.000E+00
1.10E+01,1.259E+01,-7.625E+01,-1.127E+02,5.000E+00
1.20E+01,1.288E+01,-7.605E+01,-1.143E+02,5.000E+00
1.30E+01,1.318E+01,-7.575E+01,-1.163E+02,5.000E+00
1.40E+01,1.349E+01,-7.667E+01,-1.132E+02,5.000E+00
1.50E+01,1.380E+01,-7.564E+01,-1.079E+02,5.000E+00
1.60E+01,1.413E+01,-7.668E+01,-1.163E+02,5.000E+00
1.70E+01,1.445E+01,-7.599E+01,-1.115E+02,5.000E+00
1.80E+01,1.479E+01,-7.481E+01,-1.069E+02,5.000E+00
1.90E+01,1.514E+01,-7.525E+01,-1.152E+02,5.000E+00
2.00E+01,1.549E+01,-7.440E+01,-1.148E+02,5.000E+00
2.10E+01,1.585E+01,-7.539E+01,-1.109E+02,5.000E+00
2.20E+01,1.622E+01,-7.394E+01,-1.135E+02,5.000E+00
2.30E+01,1.660E+01,-7.438E+01,-1.083E+02,5.000E+00
2.40E+01,1.698E+01,-7.391E+01,-1.159E+02,5.000E+00
2.50E+01,1.738E+01,-7.385E+01,-1.177E+02,5.000E+00
2.60E+01,1.778E+01,-7.401E+01,-1.081E+02,5.000E+00
2.70E+01,1.820E+01,-7.286E+01,-1.153E+02,5.000E+00
2.80E+01,1.862E+01,-7.410E+01,-1.160E+02,5.000E+00
2.90E+01,1.905E+01,-7.275E+01,-1.210E+02,5.000E+00
3.00E+01,1.950E+01,-7.308E+01,-1.158E+02,5.000E+00
3.10E+01,1.995E+01,-7.178E+01,-1.103E+02,5.000E+00
3.20E+01,2.042E+01,-7.350E+01,-1.094E+02,5.000E+00
3.30E+01,2.089E+01,-7.239E+01,-1.151E+02,5.000E+00
3.40E+01,2.138E+01,-7.149E+01,-1.199E+02,5.000E+00
3.50E+01,2.188E+01,-7.250E+01,-1.186E+02,5.000E+00
3.60E+01,2.239E+01,-7.144E+01,-1.165E+02,5.000E+00
3.70E+01,2.291E+01,-7.190E+01,-1.194E+02,5.000E+00
3.80E+01,2.344E+01,-7.241E+01,-1.264E+02,5.000E+00
3.90E+01,2.399E+01,-7.153E+01,-1.196E+02,5.000E+00
4.00E+01,2.455E+01,-7.163E+01,-1.210E+02,5.000E+00
4.10E+01,2.512E+01,-7.123E+01,-1.261E+02,5.000E+00
4.20E+01,2.570E+01,-7.187E+01,-1.258E+02,5.000E+00
4.30E+01,2.630E+01,-7.100E+01,-1.180E+02,5.000E+00
4.40E+01,2.692E+01,-7.213E+01,-1.210E+02,5.000E+00
4.50E+01,2.754E+01,-7.048E+01,-1.197E+02,5.000E+00
4.60E+01,2.818E+01,-7.106E+01,-1.218E+02,5.000E+00
4.70E+01,2.884E+01,-7.066E+01,-1.219E+02,5.000E+00
4.80E+01,2.951E+01,-7.157E+01,-1.207E+02,5.000E+00
4.90E+01,3.020E+01,-7.081E+01,-1.282E+02,5.000E+00
5.00E+01,3.090E+01,-7.035E+01,-1.276E+02,5.000E+00
5.10E+01,3.162E+01,-7.049E+01,-1.260E+02,5.000E+00
5.20E+01,3.236E+01,-7.071E+01,-1.207E+02,5.000E+00
5.30E+01,3.311E+01,-7.030E+01,-1.228E+02,5.000E+00
5.40E+01,3.388E+01,-7.056E+01,-1.248E+02,5.000E+00
5.50E+01,3.467E+01,-7.063E+01,-1.299E+02,5.000E+00
5.60E+01,3.548E+01,-6.879E+01,-1.301E+02,5.000E+00
5.70E+01,3.631E+01,-6.899E+01,-1.289E+02,5.000E+00
5.80E+01,3.715E+01,-7.008E+01,-1.261E+02,5.000E+00
5.90E+01,3.802E+01,-6.979E+01,-1.310E+02,5.000E+00
6.00E+01,3.890E+01,-6.870E+01,-1.313E+02,5.000E+00
6.10E+01,3.981E+01,-6.998E+01,-1.299E+02,5.000E+00
6.20E+01,4.074E+01,-6.958E+01,-1.235E+02,5.000E+00
6.30E+01,4.169E+01,-6.811E+01,-1.321E+02,5.000E+00
6.40E+01,4.266E+01,-6.920E+01,-1.248E+02,5.000E+00
6.50E+01,4.365E+01,-6.865E+01,-1.383E+02,5.000E+00
6.60E+01,4.467E+01,-6.766E+01,-1.291E+02,5.000E+00
