in Sa,Frequency in Hz,Gain in dB,Phase in °,Amplitude in Vpp
1.00E+00,1.000E+01,-5.335E+01,6.308E+01,5.000E+00
2.00E+00,1.023E+01,-5.282E+01,5.805E+01,5.000E+00
3.00E+00,1.047E+01,-5.185E+01,5.856E+01,5.000E+00
4.00E+00,1.072E+01,-5.235E+01,5.574E+01,5.000E+00
5.00E+00,1.096E+01,-5.177E+01,6.469E+01,5.000E+00
6.00E+00,1.122E+01,-5.247E+01,5.802E+01,5.000E+00
7.00E+00,1.148E+01,-5.119E+01,6.027E+01,5.000E+00
8.00E+00,1.175E+01,-5.231E+01,6.180E+01,5.000E+00
9.00E+00,1.202E+01,-5.154E+01,5.914E+01,5.000E+00
1.00E+01,1.230E+01,-5.112E+01,5.924E+01,5.000E+00
1.10E+01,1.259E+01,-5.121E+01,6.259E+01,5.000E+00
1.20E+01,1.288E+01,-5.104E+01,6.275E+01,5.000E+00
1.30E+01,1.318E+01,-5.094E+01,6.488E+01,5.000E+00
1.40E+01,1.349E+01,-5.124E+01,6.166E+01,5.000E+00
1.50E+01,1.380E+01,-5.097E+01,6.175E+01,5.000E+00
1.60E+01,1.413E+01,-5.060E+01,6.351E+01,5.000E+00
1.70E+01,1.445E+01,-5.008E+01,6.462E+01,5.000E+00
1.80E+01,1.479E+01,-5.049E+01,5.601E+01,5.000E+00
1.90E+01,1.514E+01,-4.993E+01,6.370E+01,5.000E+00
2.00E+01,1.549E+01,-4.991E+01,5.959E+01,5.000E+00
2.10E+01,1.585E+01,-4.958E+01,6.655E+01,5.000E+00
2.20E+01,1.622E+01,-4.974E+01,6.538E+01,5.000E+00
2.30E+01,1.660E+01,-4.889E+01,6.171E+01,5.000E+00
2.40E+01,1.698E+01,-4.918E+01,6.348E+01,5.000E+00
2.50E+01,1.738E+01,-4.950E+01,6.337E+01,5.000E+00
2.60E+01,1.778E+01,-4.928E+01,6.189E+01,5.000E+00
2.70E+01,1.820E+01,-4.869E+01,6.400E+01,5.000E+00
2.80E+01,1.862E+01,-4.855E+01,6.517E+01,5.000E+00
2.90E+01,1.905E+01,-4.833E+01,6.197E+01,5.000E+00
3.00E+01,1.950E+01,-4.896E+01,6.277E+01,5.000E+00
3.10E+01,1.995E+01,-4.860E+01,6.230E+01,5.000E+00
3.20E+01,2.042E+01,-4.792E+01,6.231E+01,5.000E+00
3.30E+01,2.089E+01,-4.797E+01,6.393E+01,5.000E+00
3.40E+01,2.138E+01,-4.805E+01,6.145E+01,5.000E+00
3.50E+01,2.188E+01,-4.736E+01,6.274E+01,5.000E+00
3.60E+01,2.239E+01,-4.759E+01,6.257E+01,5.000E+00
3.70E+01,2.291E+01,-4.685E+01,6.212E+01,5.000E+00
3.80E+01,2.344E+01,-4.686E+01,6.557E+01,5.000E+00
3.90E+01,2.399E+01,-4.737E+01,6.433E+01,5.000E+00
4.00E+01,2.455E+01,-4.684E+01,6.033E+01,5.000E+00
4.10E+01,2.512E+01,-4.690E+01,6.444E+01,5.000E+00
4.20E+01,2.570E+01,-4.673E+01,6.655E+01,5.000E+00
4.30E+01,2.630E+01,-4.652E+01,6.469E+01,5.000E+00
4.40E+01,2.692E+01,-4.637E+01,6.271E+01,5.000E+00
4.50E+01,2.754E+01,-4.618E+01,6.316E+01,5.000E+00
4.60E+01,2.818E+01,-4.550E+01,6.460E+01,5.000E+00
4.70E+01,2.884E+01,-4.609E+01,6.592E+01,5.000E+00
4.80E+01,2.951E+01,-4.585E+01,6.407E+01,5.000E+00
4.90E+01,3.020E+01,-4.560E+01,6.288E+01,5.000E+00
5.00E+01,3.090E+01,-4.531E+01,6.440E+01,5.000E+00
5.10E+01,3.162E+01,-4.535E+01,6.326E+01,5.000E+00
5.20E+01,3.236E+01,-4.467E+01,6.306E+01,5.000E+00
5.30E+01,3.311E+01,-4.482E+01,6.508E+01,5.000E+00
5.40E+01,3.388E+01,-4.478E+01,6.252E+01,5.000E+00
5.50E+01,3.467E+01,-4.467E+01,6.433E+01,5.000E+00
5.60E+01,3.548E+01,-4.446E+01,6.237E+01,5.000E+00
5.70E+01,3.631E+01,-4.434E+01,6.520E+01,5.000E+00
5.80E+01,3.715E+01,-4.381E+01,6.377E+01,5.000E+00
5.90E+01,3.802E+01,-4.412E+01,6.433E+01,5.000E+00
6.00E+01,3.890E+01,-4.417E+01,6.430E+01,5.000E+00
6.10E+01,3.981E+01,-4.351E+01,6.429E+01,5.000E+00
6.20E+01,4.074E+01,-4.384E+01,6.166E+01,5.000E+00
6.30E+01,4.169E+01,-4.319E+01,6.426E+01,5.000E+00
6.40E+01,4.266E+01,-4.355E+01,6.631E+01,5.000E+00
6.50E+01,4.365E+01,-4.333E+01,6.307E+01,5.000E+00
6.60E+01,4.467E+01,-4.290E+01,6.268E+01,5.000E+00
6.70E+01,4.571E+01,-4.243E+01,6.460E+01,5.000E+00
6.80E+01,4.677E+01,-4.226E+01,6.507E+01,5.000E+00
6.90E+01,4.786E+01,-4.317E+01,6.129E+01,5.000E+00
7.00E+01,4.898E+01,-4.264E+01,6.379E+01,5.000E+00
7.10E+01,5.012E+01,-4.275E+01,6.583E+01,5.000E+00
7.20E+01,5.129E+01,-4.169E+01,6.380E+01,5.000E+00
7.30E+01,5.248E+01,-4.176E+01,6.261E+01,5.000E+00
7.40E+01,5.370E+01,-4.234E+01,6.219E+01,5.000E+00
7.50E+01,5.495E+01,-4.138E+01,6.362E+01,5.000E+00
7.60E+01,5.623E+01,-4.166E+01,6.307E+01,5.000E+00
7.70E+01,5.754E+01,-4.179E+01,6.295E+01,5.000E+00
7.80E+01,5.888E+01,-4.089E+01,6.369E+01,5.000E+00
7.90E+01,6.026E+01,-4.129E+01,6.365E+01,5.000E+00
8.00E+01,6.166E+01,-4.130E+01,6.266E+01,5.000E+00
8.10E+01,6.310E+01,-4.081E+01,6.416E+01,5.000E+00
8.20E+01,6.457E+01,-4.089E+01,6.393E+01,5.000E+00
8.30E+01,6.607E+01,-4.008E+01,6.423E+01,5.000E+00
8.40E+01,6.761E+01,-4.060E+01,6.396E+01,5.000E+00
8.50E+01,6.918E+01,-4.027E+01,6.764E+01,5.000E+00
8.60E+01,7.079E+01,-3.980E+01,6.250E+01,5.000E+00
8.70E+01,7.244E+01,-4.035E+01,6.375E+01,5.000E+00
