in s,C1 in V
-1.2000204E-02,-1.325226E-01
-1.2000020E-02,-1.282501E-01
-1.1999836E-02,-1.270294E-01
-1.1999652E-02,-1.222992E-01
-1.1999468E-02,-1.198578E-01
-1.1999284E-02,-1.157379E-01
-1.1999100E-02,-1.152802E-01
-1.1998916E-02,-1.103973E-01
-1.1998732E-02,-1.102448E-01
-1.1998548E-02,-1.058197E-01
-1.1998364E-02,-1.018524E-01
-1.1998180E-02,-1.003265E-01
-1.1997996E-02,-9.590149E-02
-1.1997812E-02,-9.284973E-02
-1.1997628E-02,-9.056091E-02
-1.1997444E-02,-8.720398E-02
-1.1997260E-02,-8.354187E-02
-1.1997076E-02,-8.110046E-02
-1.1996892E-02,-7.987976E-02
-1.1996708E-02,-7.423401E-02
-1.1996524E-02,-7.240295E-02
-1.1996340E-02,-6.874084E-02
-1.1996156E-02,-6.645203E-02
-1.1995972E-02,-6.492615E-02
-1.1995788E-02,-5.958557E-02
-1.1995604E-02,-5.912781E-02
-1.1995420E-02,-5.607605E-02
-1.1995236E-02,-5.378723E-02
-1.1995052E-02,-4.966736E-02
-1.1994868E-02,-4.966736E-02
-1.1994684E-02,-4.554749E-02
-1.1994500E-02,-4.417419E-02
-1.1994316E-02,-3.913879E-02
-1.1994132E-02,-3.593445E-02
-1.1993948E-02,-3.547668E-02
-1.1993764E-02,-2.922058E-02
-1.1993580E-02,-2.677917E-02
-1.1993396E-02,-2.540588E-02
-1.1993212E-02,-2.281189E-02
-1.1993028E-02,-1.838684E-02
-1.1992844E-02,-1.564026E-02
-1.1992660E-02,-1.136780E-02
-1.1992476E-02,-8.926392E-03
-1.1992292E-02,-7.705688E-03
-1.1992108E-02,-2.975464E-03
-1.1991924E-02,-2.517700E-03
-1.1991740E-02,1.754761E-03
-1.1991556E-02,5.569458E-03
-1.1991372E-02,8.468628E-03
-1.1991188E-02,1.029968E-02
-1.1991004E-02,1.289368E-02
-1.1990820E-02,1.487732E-02
-1.1990636E-02,1.747131E-02
-1.1990452E-02,2.220154E-02
-1.1990268E-02,2.540588E-02
-1.1990084E-02,2.708435E-02
-1.1989900E-02,3.227234E-02
-1.1989716E-02,2.998352E-02
-1.1989532E-02,3.532410E-02
-1.1989348E-02,3.715515E-02
-1.1989164E-02,4.280090E-02
-1.1988980E-02,4.554749E-02
-1.1988796E-02,4.753113E-02
-1.1988612E-02,5.058289E-02
-1.1988428E-02,5.210876E-02
-1.1988244E-02,5.805969E-02
-1.1988060E-02,5.714417E-02
-1.1987876E-02,6.233215E-02
-1.1987692E-02,6.385803E-02
-1.1987508E-02,6.660461E-02
-1.1987324E-02,6.904602E-02
-1.1987140E-02,7.408142E-02
-1.1986956E-02,7.637024E-02
-1.1986772E-02,7.820129E-02
-1.1986588E-02,8.033752E-02
-1.1986404E-02,8.445740E-02
-1.1986220E-02,8.766174E-02
-1.1986036E-02,9.071350E-02
-1.1985852E-02,9.178162E-02
-1.1985668E-02,9.788513E-02
-1.1985484E-02,1.003265E-01
-1.1985300E-02,1.012421E-01
-1.1985116E-02,1.056671E-01
-1.1984932E-02,1.078033E-01
-1.1984748E-02,1.100922E-01
-1.1984564E-02,1.111603E-01
-1.1984380E-02,1.168060E-01
-1.1984196E-02,1.189423E-01
-1.1984012E-02,1.219940E-01
-1.1983828E-02,1.222992E-01
-1.1983644E-02,1.271820E-01
-1.1983460E-02,1.316071E-01
-1.1983276E-02,1.342010E-01
-1.1983092E-02,1.387787E-01
-1.1982908E-02,1.407623E-01
