in Sa,Frequency in Hz,Gain in dB,Phase in °,Amplitude in Vpp
1.00E+00,1.000E+01,-5.403E+01,-1.226E+02,5.000E+00
2.00E+00,1.012E+01,-5.402E+01,-1.067E+02,5.000E+00
3.00E+00,1.023E+01,-5.367E+01,-1.119E+02,5.000E+00
4.00E+00,1.035E+01,-5.409E+01,-1.171E+02,5.000E+00
5.00E+00,1.047E+01,-5.366E+01,-1.101E+02,5.000E+00
6.00E+00,1.059E+01,-5.376E+01,-1.164E+02,5.000E+00
7.00E+00,1.072E+01,-5.227E+01,-1.189E+02,5.000E+00
8.00E+00,1.084E+01,-5.404E+01,-1.127E+02,5.000E+00
9.00E+00,1.096E+01,-5.214E+01,-1.149E+02,5.000E+00
1.00E+01,1.109E+01,-5.347E+01,-1.158E+02,5.000E+00
1.10E+01,1.122E+01,-5.349E+01,-1.178E+02,5.000E+00
1.20E+01,1.135E+01,-5.284E+01,-1.166E+02,5.000E+00
1.30E+01,1.148E+01,-5.236E+01,-1.169E+02,5.000E+00
1.40E+01,1.161E+01,-5.263E+01,-1.232E+02,5.000E+00
1.50E+01,1.175E+01,-5.386E+01,-1.143E+02,5.000E+00
1.60E+01,1.189E+01,-5.310E+01,-1.224E+02,5.000E+00
1.70E+01,1.202E+01,-5.347E+01,-1.171E+02,5.000E+00
1.80E+01,1.216E+01,-5.268E+01,-1.234E+02,5.000E+00
1.90E+01,1.230E+01,-5.276E+01,-1.215E+02,5.000E+00
2.00E+01,1.245E+01,-5.246E+01,-1.197E+02,5.000E+00
2.10E+01,1.259E+01,-5.244E+01,-1.183E+02,5.000E+00
2.20E+01,1.274E+01,-5.253E+01,-1.178E+02,5.000E+00
2.30E+01,1.288E+01,-5.182E+01,-1.214E+02,5.000E+00
2.40E+01,1.303E+01,-5.175E+01,-1.230E+02,5.000E+00
2.50E+01,1.318E+01,-5.152E+01,-1.168E+02,5.000E+00
2.60E+01,1.334E+01,-5.160E+01,-1.228E+02,5.000E+00
2.70E+01,1.349E+01,-5.214E+01,-1.264E+02,5.000E+00
2.80E+01,1.365E+01,-5.245E+01,-1.301E+02,5.000E+00
2.90E+01,1.380E+01,-5.212E+01,-1.204E+02,5.000E+00
3.00E+01,1.396E+01,-5.162E+01,-1.254E+02,5.000E+00
3.10E+01,1.413E+01,-5.177E+01,-1.196E+02,5.000E+00
3.20E+01,1.429E+01,-5.227E+01,-1.281E+02,5.000E+00
3.30E+01,1.445E+01,-5.179E+01,-1.258E+02,5.000E+00
3.40E+01,1.462E+01,-5.101E+01,-1.253E+02,5.000E+00
3.50E+01,1.479E+01,-5.114E+01,-1.244E+02,5.000E+00
3.60E+01,1.496E+01,-5.141E+01,-1.201E+02,5.000E+00
3.70E+01,1.514E+01,-4.995E+01,-1.239E+02,5.000E+00
3.80E+01,1.531E+01,-5.096E+01,-1.290E+02,5.000E+00
3.90E+01,1.549E+01,-5.103E+01,-1.220E+02,5.000E+00
4.00E+01,1.567E+01,-5.085E+01,-1.173E+02,5.000E+00
4.10E+01,1.585E+01,-5.070E+01,-1.308E+02,5.000E+00
4.20E+01,1.603E+01,-5.011E+01,-1.272E+02,5.000E+00
4.30E+01,1.622E+01,-5.040E+01,-1.311E+02,5.000E+00
4.40E+01,1.641E+01,-5.039E+01,-1.299E+02,5.000E+00
4.50E+01,1.660E+01,-5.056E+01,-1.308E+02,5.000E+00
4.60E+01,1.679E+01,-5.121E+01,-1.323E+02,5.000E+00
4.70E+01,1.698E+01,-5.058E+01,-1.264E+02,5.000E+00
4.80E+01,1.718E+01,-4.960E+01,-1.270E+02,5.000E+00
4.90E+01,1.738E+01,-5.037E+01,-1.261E+02,5.000E+00
5.00E+01,1.758E+01,-4.983E+01,-1.331E+02,5.000E+00
5.10E+01,1.778E+01,-5.004E+01,-1.296E+02,5.000E+00
5.20E+01,1.799E+01,-4.996E+01,-1.324E+02,5.000E+00
5.30E+01,1.820E+01,-5.012E+01,-1.322E+02,5.000E+00
5.40E+01,1.841E+01,-4.997E+01,-1.282E+02,5.000E+00
5.50E+01,1.862E+01,-4.939E+01,-1.308E+02,5.000E+00
5.60E+01,1.884E+01,-4.895E+01,-1.329E+02,5.000E+00
5.70E+01,1.905E+01,-4.951E+01,-1.321E+02,5.000E+00
5.80E+01,1.928E+01,-5.067E+01,-1.351E+02,5.000E+00
5.90E+01,1.950E+01,-5.001E+01,-1.324E+02,5.000E+00
6.00E+01,1.972E+01,-4.906E+01,-1.328E+02,5.000E+00
6.10E+01,1.995E+01,-4.945E+01,-1.378E+02,5.000E+00
6.20E+01,2.018E+01,-4.996E+01,-1.354E+02,5.000E+00
6.30E+01,2.042E+01,-4.924E+01,-1.374E+02,5.000E+00
6.40E+01,2.065E+01,-5.035E+01,-1.327E+02,5.000E+00
6.50E+01,2.089E+01,-4.964E+01,-1.363E+02,5.000E+00
6.60E+01,2.113E+01,-4.916E+01,-1.335E+02,5.000E+00
6.70E+01,2.138E+01,-4.895E+01,-1.395E+02,5.000E+00
6.80E+01,2.163E+01,-4.976E+01,-1.362E+02,5.000E+00
6.90E+01,2.188E+01,-4.959E+01,-1.363E+02,5.000E+00
7.00E+01,2.213E+01,-4.914E+01,-1.342E+02,5.000E+00
7.10E+01,2.239E+01,-4.789E+01,-1.360E+02,5.000E+00
7.20E+01,2.265E+01,-4.858E+01,-1.336E+02,5.000E+00
7.30E+01,2.291E+01,-4.926E+01,-1.365E+02,5.000E+00
7.40E+01,2.317E+01,-4.958E+01,-1.370E+02,5.000E+00
7.50E+01,2.344E+01,-4.777E+01,-1.357E+02,5.000E+00
7.60E+01,2.371E+01,-4.930E+01,-1.382E+02,5.000E+00
7.70E+01,2.399E+01,-4.826E+01,-1.343E+02,5.000E+00
7.80E+01,2.427E+01,-4.815E+01,-1.323E+02,5.000E+00
7.90E+01,2.455E+01,-4.832E+01,-1.382E+02,5.000E+00
8.00E+01,2.483E+01,-4.854E+01,-1.390E+02,5.000E+00
8.10E+01,2.512E+01,-4.744E+01,-1.448E+02,5.000E+00
8.20E+01,2.541E+01,-4.805E+01,-1.313E+02,5.000E+00
8.30E+01,2.570E+01,-4.838E+01,-1.437E+02,5.000E+00
8.40E+01,2.600E+01,-4.853E+01,-1.451E+02,5.000E+00
8.50E+01,2.630E+01,-4.873E+01,-1.334E+02,5.000E+00
8.60E+01,2.661E+01,-4.789E+01,-1.443E+02,5.000E+00
8.70E+01,2.692E+01,-4.765E+01,-1.462E+02,5.000E+00
8.80E+01,2.723E+01,-4.794E+01,-1.393E+02,5.000E+00
8.90E+01,2.754E+01,-4.748E+01,-1.427E+02,5.000E+00
9.00E+01,2.786E+01,-4.877E+01,-1.378E+02,5.000E+00
9.10E+01,2.818E+01,-4.968E+01,-1.424E+02,5.000E+00
9.20E+01,2.851E+01,-4.815E+01,-1.526E+02,5.000E+00
9.30E+01,2.884E+01,-4.823E+01,-1.427E+02,5.000E+00
9.40E+01,2.917E+01,-4.858E+01,-1.346E+02,5.000E+00
9.50E+01,2.951E+01,-4.872E+01,-1.382E+02,5.000E+00
9.60E+01,2.985E+01,-4.748E+01,-1.428E+02,5.000E+00
9.70E+01,3.020E+01,-4.850E+01,-1.486E+02,5.000E+00
9.80E+01,3.055E+01,-4.748E+01,-1.401E+02,5.000E+00
9.90E+01,3.090E+01,-4.823E+01,-1.407E+02,5.000E+00
