in Sa,Frequency in Hz,Gain in dB,Phase in °,Amplitude in Vpp
1.00E+00,1.000E+01,-5.638E+01,-1.356E+02,5.000E+00
2.00E+00,1.023E+01,-5.576E+01,-1.386E+02,5.000E+00
3.00E+00,1.047E+01,-5.518E+01,-1.342E+02,5.000E+00
4.00E+00,1.072E+01,-5.639E+01,-1.337E+02,5.000E+00
5.00E+00,1.096E+01,-5.589E+01,-1.398E+02,5.000E+00
6.00E+00,1.122E+01,-5.539E+01,-1.325E+02,5.000E+00
7.00E+00,1.148E+01,-5.484E+01,-1.358E+02,5.000E+00
8.00E+00,1.175E+01,-5.518E+01,-1.398E+02,5.000E+00
9.00E+00,1.202E+01,-5.485E+01,-1.332E+02,5.000E+00
1.00E+01,1.230E+01,-5.434E+01,-1.393E+02,5.000E+00
1.10E+01,1.259E+01,-5.553E+01,-1.352E+02,5.000E+00
1.20E+01,1.288E+01,-5.540E+01,-1.423E+02,5.000E+00
1.30E+01,1.318E+01,-5.493E+01,-1.490E+02,5.000E+00
1.40E+01,1.349E+01,-5.411E+01,-1.403E+02,5.000E+00
1.50E+01,1.380E+01,-5.361E+01,-1.437E+02,5.000E+00
1.60E+01,1.413E+01,-5.395E+01,-1.498E+02,5.000E+00
1.70E+01,1.445E+01,-5.474E+01,-1.451E+02,5.000E+00
1.80E+01,1.479E+01,-5.495E+01,-1.459E+02,5.000E+00
1.90E+01,1.514E+01,-5.329E+01,-1.432E+02,5.000E+00
2.00E+01,1.549E+01,-5.451E+01,-1.514E+02,5.000E+00
2.10E+01,1.585E+01,-5.460E+01,-1.551E+02,5.000E+00
2.20E+01,1.622E+01,-5.489E+01,-1.422E+02,5.000E+00
2.30E+01,1.660E+01,-5.382E+01,-1.459E+02,5.000E+00
2.40E+01,1.698E+01,-5.343E+01,-1.535E+02,5.000E+00
2.50E+01,1.738E+01,-5.409E+01,-1.466E+02,5.000E+00
2.60E+01,1.778E+01,-5.496E+01,-1.559E+02,5.000E+00
2.70E+01,1.820E+01,-5.378E+01,-1.482E+02,5.000E+00
2.80E+01,1.862E+01,-5.327E+01,-1.531E+02,5.000E+00
2.90E+01,1.905E+01,-5.305E+01,-1.479E+02,5.000E+00
3.00E+01,1.950E+01,-5.306E+01,-1.574E+02,5.000E+00
3.10E+01,1.995E+01,-5.412E+01,-1.660E+02,5.000E+00
3.20E+01,2.042E+01,-5.283E+01,-1.583E+02,5.000E+00
3.30E+01,2.089E+01,-5.315E+01,-1.548E+02,5.000E+00
3.40E+01,2.138E+01,-5.224E+01,-1.560E+02,5.000E+00
3.50E+01,2.188E+01,-5.358E+01,-1.571E+02,5.000E+00
3.60E+01,2.239E+01,-5.290E+01,-1.611E+02,5.000E+00
3.70E+01,2.291E+01,-5.317E+01,-1.581E+02,5.000E+00
3.80E+01,2.344E+01,-5.335E+01,-1.634E+02,5.000E+00
3.90E+01,2.399E+01,-5.414E+01,-1.564E+02,5.000E+00
4.00E+01,2.455E+01,-5.394E+01,-1.560E+02,5.000E+00
4.10E+01,2.512E+01,-5.313E+01,-1.599E+02,5.000E+00
4.20E+01,2.570E+01,-5.267E+01,-1.598E+02,5.000E+00
4.30E+01,2.630E+01,-5.279E+01,-1.558E+02,5.000E+00
4.40E+01,2.692E+01,-5.316E+01,-1.677E+02,5.000E+00
4.50E+01,2.754E+01,-5.259E+01,-1.557E+02,5.000E+00
4.60E+01,2.818E+01,-5.243E+01,-1.609E+02,5.000E+00
